Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2022-06-30T15:00:00Z,SPY,372.511404496,572,Market,Filled,213076.52337171,Warning: No quote information available at 06/30/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-07-07T14:00:00Z,SPY,384.040858494,-572,Market,Filled,-219671.37105857,Liquidated - Warning: No quote information available at 07/07/2022 10:00:00 America/New_York, order filled using TradeBar data 
2022-07-07T15:00:00Z,SPY,384.021031402,572,Market,Filled,219660.02996194,Warning: No quote information available at 07/07/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-07-14T14:00:00Z,SPY,369.111058218,-572,Market,Filled,-211131.5253007,Liquidated - Warning: No quote information available at 07/14/2022 10:00:00 America/New_York, order filled using TradeBar data 
2022-07-14T15:00:00Z,SPY,369.046620169,572,Market,Filled,211094.66673667,Warning: No quote information available at 07/14/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-07-15T15:00:00Z,SPY,380.402587112,-572,Market,Filled,-217590.27982806,Liquidated - Warning: No quote information available at 07/15/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-07-15T16:00:00Z,SPY,380.6801664,571,Market,Filled,217368.3750144,Warning: No quote information available at 07/15/2022 12:00:00 America/New_York, order filled using TradeBar data 
2022-07-20T15:00:00Z,SPY,392.507026778,-571,Market,Filled,-224121.51229024,Liquidated - Warning: No quote information available at 07/20/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-07-20T16:00:00Z,SPY,392.348410042,571,Market,Filled,224030.94213398,Warning: No quote information available at 07/20/2022 12:00:00 America/New_York, order filled using TradeBar data 
2022-07-29T14:00:00Z,SPY,405.632561682,-571,Market,Filled,-231616.19272042,Liquidated - Warning: No quote information available at 07/29/2022 10:00:00 America/New_York, order filled using TradeBar data 
2022-07-29T15:00:00Z,SPY,405.870486786,571,Market,Filled,231752.04795481,Warning: No quote information available at 07/29/2022 11:00:00 America/New_York, order filled using TradeBar data 
2022-08-11T14:00:00Z,SPY,419.660229272,-571,Market,Filled,-239625.99091431,Liquidated - Warning: No quote information available at 08/11/2022 10:00:00 America/New_York, order filled using TradeBar data 
2022-08-11T15:00:00Z,SPY,419.927895014,571,Market,Filled,239778.82805299,Warning: No quote information available at 08/11/2022 11:00:00 America/New_York, order filled using TradeBar data 
