Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2014-02-28T16:00:00Z,SPY,158.2194132,-925,Market,Filled,-146352.95721,Liquidated - Warning: No quote information available at 02/28/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-02-28T17:00:00Z,SPY,158.42269296,924,Market,Filled,146382.56829504,Warning: No quote information available at 02/28/2014 12:00:00 America/New_York, order filled using TradeBar data 
2014-06-09T14:00:00Z,SPY,166.374645156,-924,Market,Filled,-153730.17212414,Liquidated - Warning: No quote information available at 06/09/2014 10:00:00 America/New_York, order filled using TradeBar data 
2014-06-09T15:00:00Z,SPY,166.510766772,923,Market,Filled,153689.43773056,Warning: No quote information available at 06/09/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-10-15T17:00:00Z,SPY,157.5216785,-923,Market,Filled,-145392.5092555,Liquidated - Warning: No quote information available at 10/15/2014 13:00:00 America/New_York, order filled using TradeBar data 
2014-10-15T18:00:00Z,SPY,157.100842,926,Market,Filled,145475.379692,Warning: No quote information available at 10/15/2014 14:00:00 America/New_York, order filled using TradeBar data 
2014-10-21T14:00:00Z,SPY,165.036616,-926,Market,Filled,-152823.906416,Liquidated - Warning: No quote information available at 10/21/2014 10:00:00 America/New_York, order filled using TradeBar data 
2014-10-21T15:00:00Z,SPY,165.4059215,923,Market,Filled,152669.6655445,Warning: No quote information available at 10/21/2014 11:00:00 America/New_York, order filled using TradeBar data 
2014-11-03T18:00:00Z,SPY,173.8054745,-923,Market,Filled,-160422.4529635,Liquidated - Warning: No quote information available at 11/03/2014 13:00:00 America/New_York, order filled using TradeBar data 
2014-11-03T19:00:00Z,SPY,173.642293,924,Market,Filled,160445.478732,Warning: No quote information available at 11/03/2014 14:00:00 America/New_York, order filled using TradeBar data 
2015-02-20T21:00:00Z,SPY,182.195759506,-924,Market On Open,Filled,-168348.88178354,Liquidated 
2015-02-23T15:00:00Z,SPY,182.014401448,925,Market,Filled,168363.3213394,Warning: No quote information available at 02/23/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-08-21T20:00:00Z,SPY,163.446863619,-925,Market On Open,Filled,-151188.34884757,Liquidated 
2015-08-24T14:00:00Z,SPY,165.46063638,914,Market,Filled,151231.02165132,Warning: No quote information available at 08/24/2015 10:00:00 America/New_York, order filled using TradeBar data 
2015-09-16T16:00:00Z,SPY,174.056220546,-914,Market,Filled,-159087.38557904,Liquidated - Warning: No quote information available at 09/16/2015 12:00:00 America/New_York, order filled using TradeBar data 
2015-09-16T17:00:00Z,SPY,174.387490524,912,Market,Filled,159041.39135789,Warning: No quote information available at 09/16/2015 13:00:00 America/New_York, order filled using TradeBar data 
2015-09-28T17:00:00Z,SPY,165.336445287,-912,Market,Filled,-150786.83810174,Liquidated - Warning: No quote information available at 09/28/2015 13:00:00 America/New_York, order filled using TradeBar data 
2015-09-28T18:00:00Z,SPY,165.064784196,913,Market,Filled,150704.14797095,Warning: No quote information available at 09/28/2015 14:00:00 America/New_York, order filled using TradeBar data 
2015-10-05T18:00:00Z,SPY,173.582673888,-913,Market,Filled,-158480.98125974,Liquidated - Warning: No quote information available at 10/05/2015 14:00:00 America/New_York, order filled using TradeBar data 
2015-10-05T19:00:00Z,SPY,173.889388023,912,Market,Filled,158587.12187698,Warning: No quote information available at 10/05/2015 15:00:00 America/New_York, order filled using TradeBar data 
2015-10-28T18:00:00Z,SPY,182.608832718,-912,Market,Filled,-166539.25543882,Liquidated - Warning: No quote information available at 10/28/2015 14:00:00 America/New_York, order filled using TradeBar data 
2015-10-28T19:00:00Z,SPY,181.793849445,916,Market,Filled,166523.16609162,Warning: No quote information available at 10/28/2015 15:00:00 America/New_York, order filled using TradeBar data 
2016-01-07T18:00:00Z,SPY,172.550909626,-916,Market,Filled,-158056.63321742,Liquidated - Warning: No quote information available at 01/07/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-01-07T19:00:00Z,SPY,171.448939376,922,Market,Filled,158075.92210467,Warning: No quote information available at 01/07/2016 14:00:00 America/New_York, order filled using TradeBar data 
2016-01-20T15:00:00Z,SPY,162.315809944,-922,Market,Filled,-149655.17676837,Liquidated - Warning: No quote information available at 01/20/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-01-20T16:00:00Z,SPY,160.75542007,930,Market,Filled,149502.5406651,Warning: No quote information available at 01/20/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-01-29T17:00:00Z,SPY,169.183288542,-930,Market,Filled,-157340.45834406,Liquidated - Warning: No quote information available at 01/29/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-01-29T18:00:00Z,SPY,169.632892404,928,Market,Filled,157419.32415091,Warning: No quote information available at 01/29/2016 13:00:00 America/New_York, order filled using TradeBar data 
2016-02-11T16:00:00Z,SPY,160.684893974,-928,Market,Filled,-149115.58160787,Liquidated - Warning: No quote information available at 02/11/2016 11:00:00 America/New_York, order filled using TradeBar data 
2016-02-11T17:00:00Z,SPY,160.570289068,929,Market,Filled,149169.79854417,Warning: No quote information available at 02/11/2016 12:00:00 America/New_York, order filled using TradeBar data 
2016-02-17T15:00:00Z,SPY,168.795395014,-929,Market,Filled,-156810.92196801,Liquidated - Warning: No quote information available at 02/17/2016 10:00:00 America/New_York, order filled using TradeBar data 
2016-02-17T16:00:00Z,SPY,169.74749731,923,Market,Filled,156676.94001713,Warning: No quote information available at 02/17/2016 11:00:00 America/New_York, order filled using TradeBar data 
